Unnamed: 0,nose_x,nose_y,throad_x,throad_y,left_front_elbow_x,left_front_elbow_y,right_front_elbow_x,right_front_elbow_y,left_back_elbow_x,left_back_elbow_y,right_back_elbow_x,right_back_elbow_y,left_front_knee_x,left_front_knee_y,right_front_knee_x,right_front_knee_y,left_back_knee_x,left_back_knee_y,right_back_knee_x,right_back_knee_y,left_front_paw_x,left_front_paw_y,right_front_paw_x,right_front_paw_y,left_back_paw_x,left_back_paw_y,right_back_paw_x,right_back_paw_y,label
36:54.3,731,107,837,57,924,169,893,181,1229,237,1211,275,912,300,899,293,1217,337,1198,331,899,381,887,368,1155,430,1130,399,0
36:54.8,730,106,843,56,925,163,893,175,1231,238,1213,250,912,300,899,294,1219,338,1200,332,899,382,893,376,1156,426,1137,401,0
36:55.3,665,94,831,52,914,177,893,191,1240,232,1219,281,914,302,900,295,1226,350,1192,336,900,385,893,371,1164,433,1143,406,0
36:55.7,622,57,819,43,907,174,907,203,1235,232,1228,247,907,305,900,291,1221,342,1206,327,900,393,892,378,1162,437,1140,408,0
36:56.2,606,41,819,41,907,173,914,202,1237,232,1222,246,907,305,907,290,1222,342,1193,327,892,378,892,364,1171,430,1142,408,0
36:56.7,613,25,813,40,909,173,902,203,1242,233,1228,248,909,307,894,292,1228,336,1205,329,902,381,887,373,1168,433,1139,410,0
36:57.2,613,19,813,34,908,174,894,196,1241,233,1218,241,908,300,894,292,1233,337,1204,322,901,388,886,373,1174,432,1145,410,0
36:57.7,613,20,812,35,915,174,893,196,1239,233,1217,248,915,299,900,292,1231,344,1202,321,900,388,885,373,1180,432,1143,410,0
36:58.1,685,15,816,26,916,167,875,155,1237,248,1214,272,910,295,898,295,1219,336,1202,324,898,383,892,377,1161,430,1138,400,0
36:58.6,651,17,810,14,919,165,889,177,1238,237,1208,249,907,297,901,297,1220,333,1202,327,895,382,907,376,1160,424,1136,400,0
36:59.1,643,4,810,19,913,159,889,177,1242,238,1205,250,913,299,901,293,1217,341,1199,329,895,378,895,372,1157,426,1138,396,0
36:59.6,676,13,809,19,921,161,891,172,1233,237,1209,249,909,296,903,290,1221,337,1198,326,897,379,897,373,1162,426,1133,396,0
37:00.1,615,20,821,34,913,169,885,183,1240,226,1197,254,906,304,906,290,1233,340,1204,318,899,389,892,375,1169,432,1140,411,1
37:00.5,675,19,807,19,919,154,878,154,1238,237,1208,249,907,296,902,296,1220,337,1196,325,896,378,902,372,1161,425,1137,396,1
37:01.0,613,21,818,36,913,175,898,197,1235,233,1221,248,913,307,898,292,1228,343,1199,321,898,387,891,373,1162,431,1140,409,1
37:01.5,608,16,819,31,913,176,898,198,1239,234,1218,248,913,307,906,292,1232,343,1196,328,898,379,898,372,1167,437,1138,401,1
37:02.0,608,18,807,18,911,174,872,167,1242,239,1229,278,911,297,904,291,1223,336,1203,323,898,382,904,369,1158,427,1138,401,1
37:02.5,698,10,809,27,924,159,884,159,1233,250,1222,273,907,296,901,291,1222,336,1199,325,895,382,895,377,1165,428,1136,394,1
37:02.9,695,18,813,24,934,156,882,156,1233,248,1221,271,911,294,899,294,1221,334,1198,328,899,380,894,374,1164,426,1141,397,1
37:03.4,609,13,815,28,914,176,893,183,1240,233,1232,247,914,304,900,290,1225,339,1197,325,900,389,893,375,1169,431,1140,410,1
37:03.9,610,17,801,17,912,179,879,166,1243,238,1217,251,912,303,899,290,1224,335,1204,322,892,381,892,374,1159,433,1126,400,1
37:04.4,707,23,817,35,923,158,884,158,1232,248,1215,270,912,298,906,293,1215,338,1198,326,895,383,895,371,1159,428,1142,394,1
37:04.9,624,22,811,22,919,168,881,168,1244,231,1205,244,907,301,900,289,1231,333,1199,320,900,378,894,365,1161,428,1136,403,1
37:05.3,620,29,824,37,904,175,904,197,1238,233,1224,240,911,306,904,291,1231,342,1202,320,897,379,897,364,1166,437,1137,408,1
37:05.8,652,65,812,37,910,177,896,198,1237,232,1230,246,910,302,896,288,1230,358,1188,344,903,393,896,379,1167,427,1140,407,1
37:06.3,697,87,829,41,914,172,901,192,1237,238,1224,278,914,297,901,291,1224,337,1197,330,901,383,901,370,1165,436,1138,403,1
37:06.8,714,94,838,48,910,179,890,179,1230,237,1191,244,910,296,903,290,1223,335,1197,329,897,381,897,361,1171,433,1132,407,1
37:07.3,740,90,838,53,918,164,893,182,1231,237,1194,243,912,299,899,292,1218,335,1194,329,899,378,893,372,1163,427,1139,397,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
